cliente;loja;valor
46100;7;12.00
46100;7;12.00
46100;7;12.00
46100;7;12.00
46100;7;10.00
46100;7;12.00
46100;7;12.00
46100;7;13.50
46100;7;12.00
46100;7;11.50
46100;7;11.50
46100;7;12.00
46100;7;12.00
46100;7;12.00
46100;7;12.00
46100;7;11.50
36366;14;12.00
36366;14;15.00
36366;14;15.00
36366;14;15.00
36366;14;15.00
36366;14;15.00
36366;14;15.00
36366;14;15.00
36366;14;15.00
36366;14;12.00
36366;14;15.00
36366;14;15.00
32044;16;12.00
32044;16;12.00
32044;16;12.00
32044;16;12.00
32044;16;11.00
32044;16;12.00
32044;16;12.00
32044;16;12.00
32044;16;12.00
32044;16;11.00
32044;16;12.00
32044;16;11.00
32044;16;11.00
32044;16;11.00
32044;16;12.00
32044;16;11.00
32044;16;11.00
32044;16;12.00
32044;16;11.00
32044;16;12.00
32044;16;12.00
47284;16;5.50
47284;16;5.50
47284;16;5.50
47284;16;5.50
47284;16;5.50
47284;16;5.50
47284;16;5.50
47284;16;5.50
47284;16;5.50
47284;16;5.50
47284;16;5.50
47284;16;5.50
47284;16;5.50
47284;16;5.50
47284;16;5.50
47284;16;5.50
47284;16;5.50
47284;16;5.50
47284;16;5.50
50306;16;12.00
50306;16;11.00
50306;16;12.00
50306;16;12.00
50306;16;11.00
50306;16;12.00
50306;16;11.00
50306;16;12.00
50306;16;12.00
50306;16;11.00
50306;16;12.00
50306;16;12.00
50306;16;12.00
136041;16;12.00
136041;16;12.00
136041;16;12.00
136041;16;12.00
136041;16;12.00
136041;16;12.00
136041;16;12.00
136041;16;12.00
136041;16;12.00
136041;16;12.00
136041;16;12.00
136041;16;12.00
136041;16;12.00
136041;16;12.00
136041;16;12.00
136041;16;12.00
136041;16;12.00
136041;16;12.00
136041;16;12.00
136041;16;12.00
136041;16;12.00
136979;16;12.00
136979;16;13.00
136979;16;12.00
136979;16;12.00
136979;16;12.00
136979;16;12.00
136979;16;12.00
136979;16;12.00
136979;16;12.00
136979;16;12.00
136979;16;12.00
139589;16;12.00
139589;16;13.00
139589;16;12.00
139589;16;12.00
139589;16;12.00
139589;16;12.00
139589;16;12.00
139589;16;13.00
139589;16;12.00
139589;16;12.00
139589;16;12.00
139589;16;12.00
139589;16;12.00
139589;16;12.00
139589;16;12.00
139589;16;12.00
139589;16;12.00
139589;16;12.00
139589;16;12.00
139589;16;13.00
139589;16;12.00
139589;16;13.00
139589;16;12.00
139589;16;12.00
139589;16;12.00
139589;16;12.00
37781;38;39.99
37781;38;129.91
37781;38;29.99
37781;38;19.99
37781;38;62.97
37781;38;154.91
37781;38;64.97
37781;38;24.98
37781;38;29.99
37781;38;9.99
38264;38;71.95
38264;38;162.92
38264;38;109.93
38264;38;132.95
38264;38;59.98
38264;38;29.98
38264;38;44.97
38264;38;12.99
38264;38;57.97
38264;38;123.96
38264;38;19.99
38397;38;29.90
38397;38;19.98
38397;38;12.99
38397;38;9.99
38397;38;30.97
38397;38;20.00
38397;38;44.98
38397;38;54.97
38397;38;39.97
38397;38;14.99
38397;38;20.00
38397;38;20.00
38397;38;14.99
38397;38;20.00
38397;38;29.99
38397;38;20.00
38397;38;20.00
46100;38;19.98
46100;38;64.98
46100;38;22.98
46100;38;24.99
46100;38;14.99
46100;38;19.99
46100;38;15.98
46100;38;24.99
46100;38;29.98
46100;38;12.99
46100;38;24.99
46100;38;85.96
46100;38;14.99
46100;38;4.99
46100;38;5.00
25328;39;65.90
25328;39;176.59
25328;39;44.90
25328;39;21.00
25328;39;459.70
25328;39;36.70
25328;39;16.80
25328;39;42.30
25328;39;78.50
25328;39;113.69
25328;39;29.90
25328;39;35.00
25328;39;71.70
25328;39;56.30
25328;39;49.00
25328;39;42.30
46241;39;14.60
46241;39;26.76
46241;39;20.98
46241;39;10.20
46241;39;37.90
46241;39;36.30
46241;39;19.99
46241;39;30.80
46241;39;43.10
46241;39;31.20
46241;39;84.79
46241;39;189.77
46241;39;26.40
46948;39;36.50
46948;39;29.50
46948;39;3.60
46948;39;70.40
46948;39;17.70
46948;39;5.40
46948;39;184.20
46948;39;23.50
46948;39;35.50
46948;39;5.40
46948;39;58.20
125748;39;44.90
125748;39;72.50
125748;39;23.40
125748;39;47.00
125748;39;239.80
125748;39;40.60
125748;39;96.00
125748;39;7.50
125748;39;19.80
125748;39;3.90
125748;39;26.70
125748;39;47.00
125748;39;31.80
125748;39;85.90
125868;39;24.90
125868;39;47.40
125868;39;237.60
125868;39;221.80
125868;39;53.00
125868;39;13.99
125868;39;6.40
125868;39;52.80
125868;39;745.30
125868;39;104.90
125868;39;20.69
125973;39;15.50
125973;39;30.10
125973;39;22.20
125973;39;14.39
125973;39;47.98
125973;39;117.50
125973;39;1199.00
125973;39;29.80
125973;39;63.80
125973;39;5.48
125973;39;54.00
125973;39;10.88
125973;39;45.10
125973;39;32.40
125973;39;331.00
125973;39;82.70
128031;39;152.90
128031;39;36.10
128031;39;44.50
128031;39;30.80
128031;39;5.90
128031;39;75.89
128031;39;54.60
128031;39;99.00
128031;39;104.90
128031;39;44.90
128031;39;6.90
128031;39;46.80
128859;39;19.90
128859;39;8.98
128859;39;200.29
128859;39;24.90
128859;39;55.80
128859;39;20.09
128859;39;42.89
128859;39;239.58
128859;39;41.40
128859;39;97.70
132943;39;155.89
132943;39;170.80
132943;39;123.70
132943;39;215.10
132943;39;123.70
132943;39;139.47
132943;39;103.20
132943;39;21.10
132943;39;170.80
132943;39;215.10
132943;39;103.20
132943;39;34.52
48168;43;41.70
48168;43;32.30
48168;43;64.60
48168;43;74.60
48168;43;17.00
48168;43;78.80
48168;43;10.90
48168;43;17.00
48168;43;161.30
48168;43;27.90
48168;43;91.50
48168;43;50.20
48168;43;162.60
48168;43;45.10
15189;45;359.90
15189;45;489.80
15189;45;949.70
15189;45;699.90
15189;45;499.90
15189;45;259.90
15189;45;278.00
15189;45;339.70
15189;45;679.90
15189;45;424.80
15189;45;459.90
15189;45;699.90
133710;73;10.00
133710;73;62.50
133710;73;29.40
133710;73;17.00
133710;73;48.80
133710;73;26.90
133710;73;58.50
133710;73;17.00
133710;73;11.50
133710;73;28.40
133710;73;25.40
135694;73;17.00
135694;73;21.50
135694;73;15.00
135694;73;15.00
135694;73;22.90
135694;73;15.00
135694;73;15.00
135694;73;19.90
135694;73;44.90
135694;73;15.00
135694;73;15.00
135694;73;24.90
135694;73;26.40
135694;73;24.90
135694;73;9.90
135694;73;24.90
136644;73;32.40
136644;73;6.00
136644;73;23.90
136644;73;23.90
136644;73;30.90
136644;73;35.40
136644;73;23.90
136644;73;32.40
136644;73;23.90
136644;73;23.90
136644;73;32.40
38397;88;5.90
38397;88;17.49
38397;88;14.40
38397;88;24.70
38397;88;21.61
38397;88;8.90
38397;88;12.81
38397;88;10.45
38397;88;6.58
38397;88;11.40
38397;88;19.71
38397;88;24.90
38397;88;30.57
38397;88;11.80
38397;88;12.68
38397;88;23.70
38397;88;44.10
38397;88;5.90
38397;88;11.90
38397;88;19.73
38397;88;17.50
38397;88;13.46
38397;88;32.70
38397;88;20.50
38397;88;5.50
38397;88;5.50
38397;88;29.90
38397;88;19.90
38397;88;29.60
38397;88;29.21
38397;88;5.50
38397;88;11.74
38397;88;21.80
38397;88;9.81
38397;88;34.51
38397;88;16.71
38397;88;15.71
38397;88;14.80
38397;88;11.80
38397;88;11.80
38397;88;13.90
358;110;11.00
358;110;22.00
358;110;30.90
358;110;30.90
358;110;21.00
358;110;22.00
358;110;49.80
358;110;13.00
358;110;15.90
358;110;17.00
358;110;37.00
358;110;11.00
358;110;25.90
358;110;13.50
358;110;21.00
358;110;18.00
358;110;12.00
358;110;15.90
358;110;34.90
358;110;22.00
358;110;19.00
358;110;22.00
358;110;61.80
358;110;19.00
358;110;34.90
358;110;22.00
358;110;18.40
358;110;13.00
358;110;19.00
358;110;29.50
358;110;22.00
510;110;35.80
510;110;23.00
510;110;26.00
510;110;48.00
510;110;29.90
510;110;25.00
510;110;25.00
510;110;16.00
510;110;11.00
510;110;39.80
510;110;33.80
510;110;40.00
510;110;34.00
510;110;32.90
510;110;34.90
510;110;23.50
510;110;34.90
510;110;15.90
510;110;35.90
510;110;58.40
510;110;30.90
510;110;27.00
510;110;15.00
510;110;27.00
510;110;40.00
10133;110;21.50
10133;110;20.00
10133;110;31.90
10133;110;43.00
10133;110;16.90
10133;110;32.80
10133;110;32.80
10133;110;32.80
10133;110;15.90
10133;110;-32.80
10133;110;12.00
10133;110;13.00
10133;110;16.90
10133;110;32.80
10133;110;32.80
10133;110;32.80
10133;110;31.90
10133;110;16.90
10133;110;16.90
10133;110;19.00
10133;110;39.00
10133;110;31.80
10133;110;21.50
10133;110;22.00
10133;110;32.80
10133;110;39.00
10133;110;32.80
10133;110;32.80
10133;110;22.50
10133;110;32.80
10133;110;16.90
10133;110;32.80
10133;110;16.90
10133;110;32.80
10133;110;16.90
10133;110;15.90
10133;110;21.50
10133;110;15.90
10133;110;31.90
10133;110;22.00
10133;110;46.00
10133;110;11.00
10133;110;15.90
10133;110;16.90
10133;110;32.80
10133;110;16.90
10133;110;32.80
10133;110;31.90
10133;110;20.00
12447;110;30.90
12447;110;17.00
12447;110;14.00
12447;110;6.50
12447;110;6.00
12447;110;13.00
12447;110;30.90
12447;110;19.00
12447;110;11.00
12447;110;34.00
12447;110;6.00
12447;110;41.90
12447;110;15.90
12447;110;29.50
12447;110;3.00
12447;110;8.00
12447;110;18.50
12447;110;6.50
12447;110;32.90
12447;110;5.50
12447;110;25.00
12447;110;78.00
12447;110;31.90
12447;110;15.00
12447;110;29.90
12447;110;6.00
12447;110;30.90
12447;110;25.00
12447;110;17.50
12447;110;9.00
12447;110;34.90
12447;110;36.90
12486;110;16.00
12486;110;11.50
12486;110;17.00
12486;110;11.50
12486;110;17.00
12486;110;11.50
12486;110;17.00
12486;110;5.50
12486;110;13.00
12486;110;16.00
12486;110;17.50
12486;110;11.50
12486;110;16.00
12486;110;11.00
12486;110;16.00
12486;110;22.00
12486;110;16.00
12486;110;11.50
12486;110;16.00
12486;110;12.90
12486;110;32.00
12486;110;16.00
12486;110;15.90
12486;110;11.00
12486;110;16.00
12486;110;16.00
12486;110;16.00
12486;110;15.90
12486;110;2.00
12486;110;2.00
12486;110;16.00
12486;110;11.50
12486;110;16.00
12486;110;13.50
12486;110;16.00
12486;110;17.00
12486;110;16.00
12486;110;16.00
12486;110;16.00
12486;110;17.50
12486;110;16.00
12486;110;23.00
12486;110;15.90
12486;110;12.00
12486;110;2.00
12486;110;2.00
12486;110;2.00
12486;110;13.00
12486;110;13.00
12486;110;2.00
12486;110;16.00
12486;110;13.90
12486;110;2.00
12486;110;13.00
12486;110;13.00
12486;110;15.90
12486;110;12.90
12486;110;11.50
12486;110;13.90
12486;110;15.90
12486;110;15.90
12486;110;13.00
12486;110;13.00
12486;110;13.90
12486;110;15.90
14454;110;11.00
14454;110;21.00
14454;110;25.90
14454;110;12.50
14454;110;26.00
14454;110;12.00
14454;110;19.00
14454;110;15.90
14454;110;25.50
14454;110;21.00
14454;110;11.50
14454;110;24.90
14454;110;5.50
14454;110;16.00
14454;110;11.00
14454;110;21.00
14454;110;36.00
14454;110;46.50
14454;110;35.80
14454;110;12.50
14454;110;13.00
14454;110;39.50
14454;110;14.50
14454;110;17.90
14454;110;16.90
14454;110;20.00
14454;110;15.90
14454;110;13.00
14454;110;26.90
14454;110;12.00
14454;110;3.50
14454;110;18.40
14454;110;17.90
14454;110;31.50
14454;110;21.00
14454;110;35.80
14454;110;20.40
14454;110;13.00
14454;110;13.00
14454;110;42.00
14454;110;17.90
14454;110;13.50
14454;110;15.90
14454;110;15.90
14454;110;19.00
14454;110;16.90
14454;110;21.90
14454;110;15.90
14454;110;22.00
14454;110;15.90
14454;110;11.00
12486;112;3.50
12486;112;10.00
12486;112;3.50
12486;112;10.00
12486;112;7.00
12486;112;6.00
12486;112;7.00
12486;112;4.50
12486;112;5.00
12486;112;7.00
12486;112;5.00
12486;112;4.00
12486;112;5.25
12486;112;7.00
12486;112;5.25
12486;112;3.50
12486;112;5.00
12486;112;4.00
12486;112;3.50
12486;112;1.75
12486;112;5.00
12486;112;3.50
12486;112;3.50
12486;112;6.00
12486;112;5.00
12486;112;4.00
12486;112;3.50
12486;112;5.25
12486;112;5.25
12486;112;4.00
12486;112;3.50
12486;112;4.00
12486;112;5.25
12486;112;6.00
12486;112;3.50
12486;112;3.50
12486;112;5.25
12486;112;4.00
12486;112;5.25
12486;112;8.00
12486;112;5.25
12486;112;6.00
12486;112;3.50
12486;112;6.00
12486;112;5.00
12486;112;10.00
12486;112;10.00
12486;112;5.00
12486;112;5.25
12486;112;6.00
12486;112;3.50
12486;112;6.00
12486;112;10.00
12486;112;3.50
12486;112;5.25
12486;112;5.00
12486;112;5.00
12486;112;5.25
12486;112;6.00
12486;112;8.00
12486;112;7.00
12486;112;6.00
12486;112;5.25
12486;112;5.00
12486;112;3.50
12486;112;5.25
12486;112;5.25
12486;112;10.00
12486;112;10.00
12486;112;10.00
12486;112;7.00
12486;112;5.25
12486;112;3.50
14111;112;10.00
14111;112;10.50
14111;112;8.75
14111;112;3.50
14111;112;10.00
14111;112;6.24
14111;112;4.00
14111;112;8.75
14111;112;8.75
14111;112;3.50
14111;112;23.09
14111;112;3.73
14111;112;22.10
14111;112;13.24
14111;112;10.50
14111;112;10.00
14111;112;23.85
14111;112;7.00
14111;112;24.50
14111;112;10.50
14111;112;31.10
14111;112;5.25
14111;112;11.49
14111;112;12.00
14111;112;28.00
14111;112;5.25
14111;112;4.00
14111;112;4.00
14111;112;6.00
14111;112;6.00
14111;112;12.00
14111;112;30.90
14111;112;3.50
14111;112;12.25
14111;112;6.24
14111;112;6.00
14111;112;8.00
14111;112;8.00
14111;112;8.00
14111;112;3.50
14111;112;10.00
14111;112;4.00
15003;112;3.75
15003;112;10.50
15003;112;10.50
15003;112;10.50
15003;112;2.50
15003;112;10.50
15003;112;10.50
15003;112;10.50
15003;112;21.00
15003;112;3.75
15003;112;29.90
15003;112;10.51
15003;112;10.50
15003;112;3.75
15003;112;6.50
25619;112;30.00
25619;112;50.00
25619;112;40.00
25619;112;52.00
25619;112;213.40
25619;112;40.00
25619;112;40.00
25619;112;32.00
25619;112;40.00
25619;112;42.20
25619;112;30.00
25619;112;45.80
25619;112;40.00
25619;112;60.00
25619;112;40.00
25619;112;71.15
25619;112;30.00
25619;112;145.40
25619;112;40.00
25619;112;42.00
25619;112;30.00
25619;112;32.90
25619;112;40.00
25619;112;39.80
25619;112;40.00
25619;112;26.00
25619;112;40.00
25619;112;40.00
25619;112;40.00
25619;112;39.80
25619;112;40.00
25619;112;100.00
25619;112;60.00
25619;112;39.80
25619;112;249.00
25619;112;40.00
25619;112;30.00
25619;112;39.80
25619;112;40.00
25619;112;40.00
25619;112;30.00
25619;112;30.00
25619;112;40.00
25619;112;39.80
25619;112;40.00
25619;112;29.85
25619;112;30.00
25619;112;40.00
25619;112;40.00
25619;112;30.00
25619;112;30.00
25619;112;40.00
25619;112;40.00
25619;112;60.00
25619;112;40.00
25619;112;44.00
25619;112;40.00
25619;112;111.80
25619;112;40.00
25619;112;40.00
25619;112;40.00
25619;112;30.00
25619;112;30.00
25619;112;52.00
25619;112;0.00
25619;112;32.00
25619;112;0.00
25619;112;39.80
25619;112;30.00
25619;112;39.80
25619;112;30.00
25619;112;40.00
25619;112;50.00
25619;112;39.80
25619;112;30.00
25619;112;32.00
25619;112;30.00
25619;112;40.00
25619;112;40.00
25619;112;40.00
25619;112;30.00
25619;112;39.80
25619;112;40.00
25619;112;29.80
25619;112;30.00
25619;112;40.00
25619;112;23.88
25619;112;29.85
25619;112;40.00
25619;112;52.90
25619;112;40.00
25619;112;40.00
25619;112;20.00
25619;112;45.25
25619;112;24.00
25619;112;40.00
25619;112;34.00
25619;112;26.00
25619;112;40.00
25619;112;40.00
25619;112;10.00
25619;112;39.80
25619;112;37.25
25619;112;40.00
25619;112;30.00
25619;112;40.00
25619;112;120.00
25619;112;32.00
25619;112;10.00
25619;112;40.00
25619;112;30.00
25619;112;30.00
25619;112;32.00
25619;112;40.00
25619;112;40.00
25619;112;40.00
25619;112;10.00
25619;112;43.25
25619;112;30.00
25619;112;40.00
25619;112;40.00
25619;112;39.80
25619;112;10.00
